access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,maximum_vehicle_class,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,distance,distance_km,federal_agency,ev_network_ids
public,24 hours daily,,,2023-07-30,,ELEC,Public,176339,2021-01-27,,E,,,BEACON GARAGE 250 KING ST 1,888-758-4389,2023-07-30T00:22:05Z,,GPS,37.778322,-122.393082,San Francisco,,,CA,250 King St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1867511'], 'posts': ['2198041', '2198051']}",0.29503,0.4748,,"{'station': ['USCPIL1867511'], 'posts': ['2198041', '2198051']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,176338,2021-01-27,,E,,,BEACON GARAGE 250 KING ST 2,888-758-4389,2023-07-30T00:22:05Z,,GPS,37.77832,-122.393071,San Francisco,,,CA,250 King St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1867531'], 'posts': ['2198081', '2198091']}",0.29532,0.47527,,"{'station': ['USCPIL1867531'], 'posts': ['2198081', '2198091']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,176337,2021-01-27,,E,,,BEACON GARAGE 250 KING ST 3,888-758-4389,2023-07-30T00:22:05Z,,GPS,37.778307,-122.393063,San Francisco,,,CA,250 King St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1867541'], 'posts': ['2198101', '2198111']}",0.29629,0.47683,,"{'station': ['USCPIL1867541'], 'posts': ['2198101', '2198111']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,158929,2020-06-12,,E,,,BEACON GARAGE 250 KING ST 4,888-758-4389,2023-07-30T00:22:05Z,,GPS,37.778305,-122.393055,San Francisco,,,CA,250 King St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1867561'], 'posts': ['2198141', '2198151']}",0.29653,0.47722,,"{'station': ['USCPIL1867561'], 'posts': ['2198141', '2198151']}"
public,24 hours daily,,,2023-07-29,,ELEC,Public,228357,2018-03-07,,E,,,Whole Foods Market,877-455-3833,2023-07-29T23:56:19Z,,GPS,37.78122,-122.39974,San Francisco,,,CA,399 4th St,94107,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",2,,,eVgo Network,https://www.evgo.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['456'], 'posts': ['961', '963']}",0.30475,0.49045,,"{'station': ['456'], 'posts': ['961', '963']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,158878,2020-06-12,,E,,,CCSF-SFMTA MOSCONE CTR 6,888-758-4389,2023-07-30T00:22:48Z,,GPS,37.784401,-122.399612,San Francisco,,,CA,255 3rd St,94103,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1904881'], 'posts': ['2247171', '2247181']}",0.31484,0.50669,,"{'station': ['USCPIL1904881'], 'posts': ['2247171', '2247181']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178883,2021-01-27,,E,,,UDR 80-81,888-758-4389,2023-07-30T00:04:20Z,,GPS,37.78697,-122.392264,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL134199'], 'posts': ['176421', '176423']}",0.33165,0.53374,,"{'station': ['USCPIL134199'], 'posts': ['176421', '176423']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,160400,2020-06-12,,E,,,UDR 399 FREMONT 85,888-758-4389,2023-07-30T00:05:03Z,,GPS,37.786936,-122.392127,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL145285'], 'posts': ['193723', '193725']}",0.33219,0.53461,,"{'station': ['USCPIL145285'], 'posts': ['193723', '193725']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178880,2021-01-27,,E,,,UDR 82-83,888-758-4389,2023-07-30T00:05:01Z,,GPS,37.786974,-122.392186,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL145089'], 'posts': ['193385', '193387']}",0.33343,0.5366,,"{'station': ['USCPIL145089'], 'posts': ['193385', '193387']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178882,2021-01-27,,E,,,UDR 120-121,888-758-4389,2023-07-30T00:04:20Z,,GPS,37.787076,-122.392092,San Francisco,,,CA,399 Fremont st,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL134295'], 'posts': ['23252011', '23252021']}",0.34186,0.55017,,"{'station': ['USCPIL134295'], 'posts': ['23252011', '23252021']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178878,2021-01-27,,E,,,UDR 122-123,888-758-4389,2023-07-30T00:05:01Z,,GPS,37.787118,-122.392149,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL145103'], 'posts': ['22028811', '22028821']}",0.34342,0.55268,,"{'station': ['USCPIL145103'], 'posts': ['22028811', '22028821']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178879,2021-01-27,,E,,,UDR 78-79,888-758-4389,2023-07-30T00:05:01Z,,GPS,37.787207,-122.392387,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL145091'], 'posts': ['193389', '193391']}",0.34478,0.55487,,"{'station': ['USCPIL145091'], 'posts': ['193389', '193391']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178877,2021-01-27,,E,,,UDR 124-125,888-758-4389,2023-07-30T00:05:02Z,,GPS,37.787178,-122.392237,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL145133'], 'posts': ['22220401', '22220411']}",0.34561,0.55621,,"{'station': ['USCPIL145133'], 'posts': ['22220401', '22220411']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,123042,2019-05-25,,E,,,521406-222 2nd St,855-900-7584,2023-07-30T01:00:07Z,,200-9,37.786651,-122.397949,San Francisco,,,CA,222 2nd St.,94105,US,,,,,,,,,,,,['J1772'],,,4,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1610'], 'posts': ['52486*1', '52486*2', '52487*1', '52487*2']}",0.34768,0.55954,,"{'station': ['1610'], 'posts': ['52486*1', '52486*2', '52487*1', '52487*2']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178881,2021-01-27,,E,,,"UDR HP, FLOOR 1",888-758-4389,2023-07-30T00:04:25Z,,GPS,37.787258,-122.392307,San Francisco,,,CA,399 Fremont St,94105,US,,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL136505'], 'posts': ['179505']}",0.34952,0.5625,,"{'station': ['USCPIL136505'], 'posts': ['179505']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,206021,2022-02-09,,E,,,UDR UDR STATION9.5,888-758-4389,2023-07-30T00:44:06Z,,GPS,37.787613,-122.391629,San Francisco,,,CA,388 Beale St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL12251791'], 'posts': ['21235071', '21235081']}",0.38577,0.62084,,"{'station': ['USCPIL12251791'], 'posts': ['21235071', '21235081']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,206022,2022-02-09,,E,,,UDR UDR STAION 9,888-758-4389,2023-07-30T00:44:06Z,,GPS,37.787701,-122.391763,San Francisco,,,CA,388 Beale St,94105,US,,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL12251821'], 'posts': ['21235131']}",0.38857,0.62534,,"{'station': ['USCPIL12251821'], 'posts': ['21235131']}"
public,,,,2023-06-20,,ELEC,Public,148570,2014-04-07,,E,,,Foundry III,800-663-5633,2023-06-20T00:09:26Z,,GPS,37.78796,-122.396116,San Francisco,,,CA,"505 Howard Street
Suite 175",94105,US,,,,,,,,,,,,['J1772'],,,4,SemaCharge Network,https://semaconnect.com/,,FREE,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1848'], 'posts': ['1672', '1673', '1674', '1675']}",0.39011,0.62782,,"{'station': ['1848'], 'posts': ['1672', '1673', '1674', '1675']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178124,2021-01-27,,E,,,BAMC P1 STATION 1,888-758-4389,2023-07-30T00:09:14Z,,GPS,37.788012,-122.391521,San Francisco,,,CA,375 Beale St.,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL191375'], 'posts': ['22694751', '22694761']}",0.41343,0.66535,,"{'station': ['USCPIL191375'], 'posts': ['22694751', '22694761']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,159895,2020-06-12,,E,,,BAMC P1 STATION 2,888-758-4389,2023-07-30T00:09:37Z,,GPS,37.788014,-122.391391,San Francisco,,,CA,375 Beale St.,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL195315'], 'posts': ['263831', '263833']}",0.41632,0.67,,"{'station': ['USCPIL195315'], 'posts': ['263831', '263833']}"
public,,,,2023-06-20,,ELEC,Public,223487,2022-07-14,,E,,,Moma-City Park,888-998-2546,2023-06-20T00:10:29Z,,GPS,37.786471,-122.400421,San Francisco,,,CA,147 Minna St,94105,US,,,,,,,,,,,,['J1772'],,,3,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['465ba1dd-d734-8158-93cc-330000470253'], 'posts': ['465ba1dd-d734-8158-93cc-330000733553', '465ba1dd-d734-8158-93cc-330000733989', '465ba1dd-d734-8158-93cc-330000734019']}",0.42983,0.69174,,"{'station': ['465ba1dd-d734-8158-93cc-330000470253'], 'posts': ['465ba1dd-d734-8158-93cc-330000733553', '465ba1dd-d734-8158-93cc-330000733989', '465ba1dd-d734-8158-93cc-330000734019']}"
public,24 hours daily,,,2023-06-21,,ELEC,Public,195067,2016-06-16,,E,,,500 Howard ST,800-663-5633,2023-06-21T00:04:38Z,,GPS,37.788489,-122.396734,San Francisco,The entrance to the garage is located on Natoma Street.,,CA,500 Howard ST,94105,US,,,,,,,,,,,,['J1772'],,,5,SemaCharge Network,https://semaconnect.com/,,FREE,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1793'], 'posts': ['3896', '3897', '3898', '3899']}",0.43433,0.69899,,"{'station': ['1793'], 'posts': ['3896', '3897', '3898', '3899']}"
public,,,,2023-06-20,,ELEC,Public,148572,2015-08-13,,E,,,101 Second Street Garage,800-663-5633,2023-06-20T00:09:26Z,,GPS,37.787861,-122.399448,San Francisco,,,CA,"101 Second Street, #225",94105,US,,,,,,,,,,,,['J1772'],,,2,SemaCharge Network,https://semaconnect.com/,,FREE,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['2169'], 'posts': ['3631', '3632']}",0.46323,0.7455,,"{'station': ['2169'], 'posts': ['3631', '3632']}"
public,,,,2022-10-06,,ELEC,Public,113330,2016-06-10,P,E,,,101 Second Street Garage - Tesla Destination,415-546-0572  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,37.788097,-122.39918,San Francisco,,,CA,101 Second St.,94111,US,,,,,,,,,,,,['TESLA'],,,2,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['501413']},0.46804,0.75324,,{'station': ['501413']}
public,8am-5pm daily,,,2022-01-10,,ELEC,Public,129035,2019-05-28,P,E,False,LD,555 Mission - Parking Garage,415-991-0135,2022-02-10T19:42:29Z,PARKING_GARAGE,200-9,37.788554,-122.398826,San Francisco,,,CA,555 Mission St,94105,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",2,,,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,0.48451,0.77974,,
public,,,,2023-06-20,,ELEC,Public,260683,2015-10-13,,E,,,560 Mission Street,800-663-5633,2023-06-20T00:10:15Z,,GPS,37.788802,-122.399445,San Francisco,,,CA,560 Mission Street,94105,US,,,,,,,,,,,,['J1772'],,,4,SemaCharge Network,https://semaconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1273'], 'posts': ['2971', '2972', '2973', '2974']}",0.51668,0.83152,,"{'station': ['1273'], 'posts': ['2971', '2972', '2973', '2974']}"
public,24 hours daily,,,2022-01-10,,ELEC,Public,63880,2014-08-01,P,E,False,LD,JPMorgan Parking Garage,415-512-5630,2022-02-10T19:42:29Z,PARKING_GARAGE,200-9,37.788865,-122.399359,San Francisco,,,CA,560 Mission St,94105,US,,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,$5 per 4 hour session,,,,,,,,,,,,,,,,,,,,,,Public,,,0.51788,0.83345,,
public,24 hours daily,,,2023-07-30,,ELEC,Public,202947,2021-12-23,,E,,,HUDSON875 GW 1,888-758-4389,2023-07-30T00:31:27Z,,GPS,37.781943,-122.403957,San Francisco,,,CA,875 Howard St,94103,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5390661'], 'posts': ['8984411', '8984421']}",0.52439,0.84392,,"{'station': ['USCPIL5390661'], 'posts': ['8984411', '8984421']}"
public,,,,2023-06-20,,ELEC,Public,148576,2011-11-28,,E,,,ACE PKG - 875 HOWARD GRG,800-663-5633,2023-06-20T00:09:23Z,,GPS,37.781928,-122.404176,San Francisco,,,CA,875 Howard Street,94103,US,,,,,,,,,,,,['J1772'],,,1,SemaCharge Network,https://semaconnect.com/,,FREE,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['971'], 'posts': ['387']}",0.53642,0.86328,,"{'station': ['971'], 'posts': ['387']}"
public,,,,2022-10-06,,ELEC,Public,168555,2016-03-15,P,E,,,55 Second Street Garage - Tesla Destination,415-777-5520  877-798-3752,2023-01-18T15:15:20Z,,200-9,37.788655,-122.400563,San Francisco,,,CA,55 Second St,94105,US,,,,,,,,,,,,['TESLA'],,,4,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['501340']},0.54383,0.87521,,{'station': ['501340']}
public,,,,2022-10-06,,ELEC,Public,113338,2014-04-04,P,E,,,Park Central Hotel - Tesla Destination,415-974-6400  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,37.78671,-122.402827,San Francisco,,,CA,50 3rd St,94103,US,,,,,,,,,,,,['TESLA'],,,1,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['502322']},0.54614,0.87893,,{'station': ['502322']}
public,,,,2023-06-20,,ELEC,Public,222978,2022-07-08,,E,,,221 Main Public Parking Garage,888-998-2546,2023-06-20T00:11:12Z,,GPS,37.790344,-122.39221,San Francisco,,,CA,221 Main Street,94105,US,,,,,,,,,,,,['J1772'],,,3,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['465ba1dd-d734-8158-93cc-330000720032'], 'posts': ['0d713221-a4b0-4a20-8c26-a9c4f8636970', '465ba1dd-d734-8158-93cc-330000720031', '8c08851b-2a31-4f3c-bc9f-1766710a7886']}",0.55612,0.89499,,"{'station': ['465ba1dd-d734-8158-93cc-330000720032'], 'posts': ['0d713221-a4b0-4a20-8c26-a9c4f8636970', '465ba1dd-d734-8158-93cc-330000720031', '8c08851b-2a31-4f3c-bc9f-1766710a7886']}"
public,,,,2022-10-06,,ELEC,Public,113340,2015-02-03,P,E,,,San Francisco Marriott Marquis - Tesla Destination,415-896-1600  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,37.7849,-122.4043,San Francisco,,,CA,780 Mission St,94103,US,,,,,,,,,,,,"['J1772', 'TESLA']",,,3,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['499988']},0.56721,0.91284,,{'station': ['499988']}
public,24 hours daily; pay lot; for guest use only,,,2023-05-03,,ELEC,Public,50011,2011-08-01,P,E,True,LD,InterContinental Hotel - San Francisco,415-616-6500,2023-05-03T20:36:28Z,HOTEL,200-9,37.782079,-122.404764,San Francisco,,,CA,888 Howard St,94103,US,,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,0.56794,0.91401,,
public,24 hours daily,,,2023-05-03,,ELEC,Public,21358,2002-01-31,P,E,False,LD,Palace Hotel,415-512-1111,2023-05-03T20:36:28Z,HOTEL,GPS,37.78881,-122.401,San Francisco,,,CA,2 New Montgomery St,94105,US,,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,$7 per session,,,,,,,,,,,,,,,,,,,,,,Public,,,0.56718,0.91279,,
public,24 hours daily,,,2023-07-30,,ELEC,Public,233112,2022-10-08,,E,,,SALESFORCE 350 MISSION,888-758-4389,2023-07-30T00:04:29Z,,GPS,37.790885,-122.396686,San Francisco,,,CA,350 Mission St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL136945'], 'posts': ['22446231', '22446241']}",0.5937,0.95547,,"{'station': ['USCPIL136945'], 'posts': ['22446231', '22446241']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,160640,2020-06-12,,E,,,G1 EV CHARGERS 455 MARKET,888-758-4389,2023-07-30T00:02:56Z,,GPS,37.79081,-122.398522,San Francisco,,,CA,455 Market St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL122611'], 'posts': ['158655', '158657']}",0.61785,0.99433,,"{'station': ['USCPIL122611'], 'posts': ['158655', '158657']}"
public,Mon 5:00am - 7:00pm; Tue 5:00am - 7:00pm; Wed 5:00am - 7:00pm; Thu 5:00am - 7:00pm; Fri 5:00am - 7:00pm; Sat 5:00am - 7:00pm; Sun 5:00am - 7:00pm,,,2023-07-30,,ELEC,Public,63877,2018-08-15,,E,False,,Pacific Place Garage,888-264-2208,2023-07-30T01:10:26Z,,GPS,37.784911,-122.405334,San Francisco,,,CA,22 4Th St,94103,US,,,,,,,,,,,,['J1772'],,,1,Volta,https://voltacharging.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['7996496a-cc8b-4162-b9a0-c8a62a89b9bb'], 'posts': ['2e2188eb-0f7c-46eb-8c79-45821ffdd2b1']}",0.62172,1.00056,,"{'station': ['7996496a-cc8b-4162-b9a0-c8a62a89b9bb'], 'posts': ['2e2188eb-0f7c-46eb-8c79-45821ffdd2b1']}"
