access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,maximum_vehicle_class,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,distance,distance_km,federal_agency,ev_network_ids
public,24 hours daily,,,2023-07-30,2023-05-06,ELEC,TEMPORARILY UNAVAILABLE (Public),176114,2021-01-27,,T,,,CHASE CENTER AREA C ZONE 4-1,888-758-4389,2023-07-30T00:24:29Z,,GPS,37.768095,-122.388588,San Francisco,,,CA,1601 3rd St,94158,US,,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.04121,1.67567,,"{'station': ['USCPIL1976751'], 'posts': ['2339391']}"
public,24 hours daily,,,2023-07-30,2023-05-06,ELEC,TEMPORARILY UNAVAILABLE (Public),158793,2020-06-12,,T,,,CHASE CENTER AREA C ZONE 2-1,888-758-4389,2023-07-30T00:24:28Z,,GPS,37.768069,-122.388586,San Francisco,,,CA,1601 3rd St,94158,US,,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.04295,1.67847,,"{'station': ['USCPIL1976731'], 'posts': ['2339361']}"
public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,2023-07-30,2023-07-18,ELEC,TEMPORARILY UNAVAILABLE (Public),212304,2022-03-25,,T,False,LD,Design District DCFC,888-264-2208,2023-07-30T01:11:31Z,,GPS,37.768236,-122.401783,San Francisco,,,CA,155 De Haro,94103,US,,,,,,,,,,,,['J1772COMBO'],1,,,Volta,https://voltacharging.com/,L2,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.06163,1.70853,,"{'station': ['f1de21cc-0b03-4c43-95e4-409d0b577b31'], 'posts': ['0c1f8126-2b01-4b3b-8dea-a16e1588d8b4']}"
public,Restricted to garage hours; pay lot; for hotel guest use only,,,2021-10-12,2022-01-01,ELEC,TEMPORARILY UNAVAILABLE (Public),65680,,P,T,False,LD,Stanford Court Hotel,415-989-3500,2023-06-16T17:39:11Z,HOTEL,200-8,37.791983,-122.409718,San Francisco,,,CA,905 California St,94108,US,,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.06461,1.71332,,
public,24 hours daily,,,2023-07-30,2023-02-08,ELEC,TEMPORARILY UNAVAILABLE (Public),158776,2020-06-12,,T,,,CCSF-SFMTA CIVIC CENTER 9,888-758-4389,2023-07-30T00:24:44Z,,GPS,37.780295,-122.417671,San Francisco,,,CA,355 McAllister St,94102,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.28261,2.06416,,"{'station': ['USCPIL1983721'], 'posts': ['2349241', '2349251']}"
public,24 hours daily,,,2023-07-30,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),160536,2020-06-12,,T,,,MONOGRAM RES OLUME 2,888-758-4389,2023-07-30T00:03:47Z,,GPS,37.774966,-122.416038,San Francisco,,,CA,1401 Mission St,94103,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.29259,2.08022,,"{'station': ['USCPIL127357'], 'posts': ['166963', '166965']}"
public,24 hours daily,,,2023-07-30,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),176054,2021-01-27,,T,,,CCSF-SFMTA CIVIC CTR 8,888-758-4389,2023-07-30T00:03:09Z,,GPS,37.780124,-122.417846,San Francisco,,,CA,355 McAllister St,94102,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.29355,2.08177,,"{'station': ['USCPIL123719'], 'posts': ['160963', '160965']}"
public,24 hours daily; for Tesla use only,CREDIT_CARD_ALWAYS,A D Debit M V,,,ELEC,Public - Credit card at all times,302961,2023-07-20,P,E,False,LD,Safeway - Tesla Supercharger,877-798-3752,2023-07-20T22:27:28Z,GROCERY,GPS,37.766033,-122.408981,San Francisco,,,CA,2300 16th St,94103,US,,,,,,,,,,,,['TESLA'],12,,,Tesla,https://www.tesla.com/supercharger,,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,,1.38645,2.23127,,
private,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,GOVERNMENT,,2021-10-12,,ELEC,Private - Government only,196732,2021-09-21,FG,E,,LD,Treasure Island JCC,,2022-02-10T21:00:18Z,FED_GOV,GPS,37.77493,-122.419416,San Francisco,,,CA,,94130,US,,,,,,,,,,,,['NEMA1450'],,2,,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,"{'id': 13, 'code': 'DOL', 'name': 'Department of Labor'}",1.46479,2.35735,"{'id': 13, 'code': 'DOL', 'name': 'Department of Labor'}",
public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,2023-07-29,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),161369,2020-06-12,,T,,,CCSF SFMTA 360 GROVE ST #4,888-758-4389,2023-07-29T23:57:48Z,,GPS,37.778069,-122.422638,San Francisco,,,CA,360 Grove St,94102,US,,,,,,,,,,,,"['J1772', 'NEMA515']",,1,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.57524,2.5351,,"{'station': ['USCPIL6855'], 'posts': ['214847', '214849']}"
public,Contact station for hours of availability.,CREDIT_CARD_ALWAYS,A ANDROID_PAY APPLE_PAY CREDIT D M,2022-10-11,,ELEC,Public - Credit card at all times,229556,2022-09-15,P,E,False,LD,1000 Green St Apartments,833-692-6787,2023-02-14T15:54:11Z,MULTI_UNIT_DWELLING,200-9,37.798818,-122.415833,San Francisco,,,CA,1000 Green St,94133,US,,,,,,,,,,,,['J1772'],,,2,AMPUP,https://ampup.io/,,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,,1.62705,2.61848,,
public,24 hours daily,,,2023-07-30,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),160609,2020-06-12,,T,,,CCSF-SFMTA JAPAN CTR 2,888-758-4389,2023-07-30T00:03:06Z,,GPS,37.785057,-122.43,San Francisco,,,CA,1610 Geary Blvd,94115,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.95677,3.14912,,"{'station': ['USCPIL123493'], 'posts': ['160375', '160377']}"
public,24 hours daily; pay lot,CREDIT_CARD_ALWAYS,,2022-09-14,,ELEC,Public - Credit card at all times,21351,2002-01-31,LG,E,False,MD,Japan Center Garage,415-567-4573,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,37.784912,-122.430237,San Francisco,Garage Level 1,,CA,1610 Geary Blvd,94115,US,,,,,,,,,,,,,,,,Non-Networked,,1 SP Inductive,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,,1.96881,3.16849,,
public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,2023-07-29,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),179192,2021-01-27,,T,,,CCSF SFMTA JAPAN CENTER,888-758-4389,2023-07-29T23:57:48Z,,GPS,37.784912,-122.430237,San Francisco,,,CA,1610 Geary Blvd,94115,US,,,,,,,,,,,,"['J1772', 'NEMA515']",,1,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.96881,3.16849,,"{'station': ['USCPIL6820'], 'posts': ['64613', '64615']}"
public,7am-7pm M-Sat,CALL,,2021-12-09,,ELEC,Public - Call ahead,64775,2014-09-01,T,E,False,LD,Extra Space Storage,415-643-8400,2023-06-07T18:26:35Z,STORAGE,GPS,37.749068,-122.402416,San Francisco,Inside the gate,,CA,2501 Cesar Chavez St,94124,US,,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,2.34508,3.77404,,
private,,GOVERNMENT,,2021-02-22,,ELEC,Private - Government only,184582,2021-01-15,FG,E,,,SEC San Francisco,,2021-08-04T00:01:52Z,FED_GOV,GPS,37.812467,-122.362181,San Francisco,,,CA,1 Yerba Buena Island,94130,US,,,,,,,,,,,,"['J1772', 'J1772COMBO']",10,,10,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,"{'id': 10, 'code': 'DHS', 'name': 'Department of Homeland Security'}",2.71827,4.37463,"{'id': 10, 'code': 'DHS', 'name': 'Department of Homeland Security'}",
public,24 hours daily,,,2023-07-30,2023-06-26,ELEC,TEMPORARILY UNAVAILABLE (Public),224789,2022-08-04,,T,,,PRESIDIO TRUST 558 PRESIDIO,888-758-4389,2023-07-30T00:17:12Z,,GPS,37.79863,-122.45163,San Francisco,,,CA,558 Presidio Blvd,94129,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,3.32465,5.35051,,"{'station': ['USCPIL732131'], 'posts': ['972341', '972351']}"
public,24 hours daily,,,2023-07-30,2023-02-17,ELEC,TEMPORARILY UNAVAILABLE (Public),177565,2021-01-27,,T,,,UCSF CAMPUS ACC P4 EV2,888-758-4389,2023-07-30T00:13:29Z,,GPS,37.76362,-122.457668,San Francisco,,,CA,400 Parnassus Ave,94122,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,3.69951,5.95378,,"{'station': ['USCPIL421441'], 'posts': ['20017351', '20017361']}"
public,Winery business hours; for visitor use only,,,2022-08-10,2023-01-15,ELEC,TEMPORARILY UNAVAILABLE (Public),165129,2020-08-03,P,T,True,LD,Rock Wall Wine Company,510-522-5700,2023-02-14T15:54:11Z,BREWERY_DISTILLERY_WINERY,GPS,37.784173,-122.309084,Alameda,,,CA,2301 Monarch St,94501,US,,,,,,,,,,,,['J1772'],,,3,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,4.6714,7.51789,,
